"phenocam","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","date","doy","year"
19,0.358792442134379,0.352597335511274,0.288204759710279,345.59466948811,0.352597335511274,0.352597335511274,0.358391918259699,"2018-06-04",155,2018
21,0.333799509780281,0.416053406754639,0.250885142192699,262.777986294404,0.416053406754639,0.416053406754639,0.418549681391578,"2018-07-01",182,2018
19,0.403261200697072,0.384890815064996,0.213542725058607,307.124653985564,0.384890815064996,0.384890815064996,0.386275758433841,"2018-08-20",232,2018
15,0.323494924265362,0.348713090453498,0.327502342366636,428.565951349345,0.348713090453498,0.348713090453498,0.349188568936554,"2018-10-13",286,2018
10,0.282156072319655,0.337927236502641,0.379916691177704,565.012135460384,0.337927236502641,0.337927236502641,0.339816016612133,"2018-10-15",288,2018
20,0.409184751098648,0.354939537264043,0.236383218980341,478.813280247001,0.354939537264043,0.354939537264043,0.357741762830797,"2018-09-12",255,2018
15,0.355096241538688,0.406183319908636,0.238473339237874,324.532032831661,0.406183319908636,0.406183319908636,0.416769078981321,"2018-06-15",166,2018
9,0.436357174273151,0.332437792250037,0.229821218079161,351.493044387463,0.332437792250037,0.332437792250037,0.333134555124918,"2018-10-01",274,2018
11,0.304584167380365,0.330311151014199,0.365104681605436,681.77686935314,0.330311151014199,0.330311151014199,0.33251792593004,"2018-11-13",317,2018
20,0.28943406673606,0.329428736598523,0.38136767824477,406.685128738294,0.329428736598523,0.329428736598523,0.343569068143554,"2018-10-30",303,2018
11,0.355159844925225,0.442559876204568,0.201264461532291,302.369497031961,0.442559876204568,0.442559876204568,0.445600794849493,"2018-07-08",189,2018
16,0.296789900717532,0.329184957380754,0.373986201761831,626.699674570875,0.329184957380754,0.329184957380754,0.330814688331268,"2018-10-12",285,2018
19,0.361417272278094,0.420316571717397,0.217571703206295,315.896367484698,0.420316571717397,0.420316571717397,0.434915571560295,"2018-08-01",213,2018
8,0.391207147444218,0.371130251099451,0.237576070486064,317.596761299098,0.371130251099451,0.371130251099451,0.373311265250318,"2018-09-19",262,2018
8,0.388218727864758,0.369565404699141,0.241659256086975,310.019288230996,0.369565404699141,0.369565404699141,0.371653286946084,"2018-09-25",268,2018
10,0.366045422807227,0.384195175576912,0.248976172722427,320.946933713768,0.384195175576912,0.384195175576912,0.386762061481136,"2018-08-18",230,2018
13,0.43276519005762,0.392660898651686,0.173472222868384,322.226600153404,0.392660898651686,0.392660898651686,0.395720185775325,"2018-09-08",251,2018
8,0.350284226954622,0.379531626771504,0.270258095365188,326.364776684517,0.379531626771504,0.379531626771504,0.381966363263057,"2018-06-01",152,2018
8,0.403251934522722,0.364958819103601,0.231337621950289,323.911957597837,0.364958819103601,0.364958819103601,0.366100225841627,"2018-08-24",236,2018
6,0.380095817200615,0.400595168284321,0.219275653869486,312.384171763143,0.400595168284321,0.400595168284321,0.40899699766772,"2018-06-20",171,2018
19,0.417423881056796,0.350422553844384,0.234066505358152,357.234723147332,0.350422553844384,0.350422553844384,0.352827226992457,"2018-10-03",276,2018
20,0.308956476154599,0.330262707447434,0.360571413492159,393.991379378244,0.330262707447434,0.330262707447434,0.355961311193452,"2018-10-06",279,2018
17,0.331742915632478,0.374330356317746,0.294807943988595,336.507531224399,0.374330356317746,0.374330356317746,0.381889717773323,"2018-06-02",153,2018
16,0.355001584907083,0.36458470260242,0.279945296501913,366.945578998287,0.36458470260242,0.36458470260242,0.36836551348931,"2018-06-14",165,2018
17,0.284210768508396,0.342449622486438,0.37316633040436,624.133455256674,0.342449622486438,0.342449622486438,0.342875773647314,"2018-10-31",304,2018
14,0.356149667839777,0.406814178437254,0.236787303587795,319.247352647353,0.406814178437254,0.406814178437254,0.41153079523264,"2018-06-26",177,2018
9,0.367603479983256,0.356677799563577,0.275885277677812,372.936961911084,0.356677799563577,0.356677799563577,0.364328777797464,"2018-05-30",150,2018
11,0.375451980835916,0.423432462728786,0.200721054573503,297.972510602741,0.423432462728786,0.423432462728786,0.424403736352329,"2018-07-27",208,2018
12,0.424313230473587,0.34427935648503,0.230536042967049,344.755035420445,0.34427935648503,0.34427935648503,0.345686800013191,"2018-09-01",244,2018
16,0.398552137716903,0.365848834757107,0.235172851021981,330.68751090312,0.365848834757107,0.365848834757107,0.366222853893393,"2018-08-26",238,2018
20,0.294083142385182,0.331448318457539,0.374468539157278,567.029579483787,0.331448318457539,0.331448318457539,0.333567179185847,"2018-11-01",305,2018
12,0.39798922593077,0.377440889325498,0.223223656795544,328.295550379105,0.377440889325498,0.377440889325498,0.386155822212626,"2018-08-10",222,2018
19,0.295382289532142,0.333991653838852,0.369620235534354,659.649803399153,0.333991653838852,0.333991653838852,0.336263273023384,"2018-11-13",317,2018
19,0.353101145934854,0.448396969234907,0.198657309256226,298.682490597099,0.448396969234907,0.448396969234907,0.452227619259223,"2018-07-10",191,2018
10,0.3245222163556,0.386128746777003,0.287903467868581,330.039922172525,0.386128746777003,0.386128746777003,0.387935576672484,"2018-06-12",163,2018
7,0.438608413822068,0.372711722920174,0.188062102211221,337.01096738442,0.372711722920174,0.372711722920174,0.375062297610842,"2018-10-03",276,2018
11,0.371851393116193,0.420209577652539,0.207136168928103,318.251138378511,0.420209577652539,0.420209577652539,0.426864901933198,"2018-07-24",205,2018
17,0.326664149653708,0.437270698613708,0.236011875300101,297.706110530687,0.437270698613708,0.437270698613708,0.444014733867107,"2018-08-14",226,2018
17,0.279883920996774,0.343538908693731,0.376246589922155,587.973067642053,0.343538908693731,0.343538908693731,0.343960367524623,"2018-11-10",314,2018
9,0.374089243535123,0.391042404773263,0.235637623994795,345.760592584655,0.391042404773263,0.391042404773263,0.392717581108387,"2018-07-19",200,2018
12,0.409972171356021,0.362429885550385,0.226122348242295,348.576664071109,0.362429885550385,0.362429885550385,0.371270445672699,"2018-08-19",231,2018
16,0.297711680146099,0.332001502891141,0.369992133683945,590.772593716955,0.332001502891141,0.332001502891141,0.333868297402636,"2018-10-17",290,2018
6,0.444410001573477,0.315993251807416,0.242023931883606,338.085381791851,0.315993251807416,0.315993251807416,0.317633998600103,"2018-09-03",246,2018
15,0.357093687027565,0.433438130850308,0.207305292419958,284.012917083626,0.433438130850308,0.433438130850308,0.44321054296388,"2018-07-10",191,2018
15,0.285689471452104,0.342283975666606,0.371219118582023,502.730101025531,0.342283975666606,0.342283975666606,0.349188568936554,"2018-10-12",285,2018
9,0.35771119766838,0.388363890612159,0.254469979569589,340.947105004907,0.388363890612159,0.388363890612159,0.389691685867169,"2018-06-12",163,2018
15,0.349636260181139,0.426241902758182,0.223914553653073,304.29671807244,0.426241902758182,0.426241902758182,0.436811799545686,"2018-06-26",177,2018
10,0.28953506191597,0.341121138468607,0.369815659318463,389.261781656874,0.341121138468607,0.341121138468607,0.342056426633906,"2018-10-12",285,2018
8,0.366536021030524,0.399439185253675,0.234017168417153,312.168839706597,0.399439185253675,0.399439185253675,0.400334308410355,"2018-08-01",213,2018
14,0.360186205182284,0.395626130124693,0.242569693039206,333.656329428402,0.395626130124693,0.395626130124693,0.398976368769267,"2018-07-15",196,2018
8,0.388017255510372,0.383931103903475,0.22785672085012,325.578611873075,0.383931103903475,0.383931103903475,0.386023452654624,"2018-08-11",223,2018
6,0.419577608935115,0.368844493508129,0.211105446520175,301.929622088859,0.368844493508129,0.368844493508129,0.370170374266094,"2018-08-11",223,2018
11,0.334510375282099,0.439990644142481,0.226281743870293,311.066819748905,0.439990644142481,0.439990644142481,0.443691336385331,"2018-06-19",170,2018
17,0.329985946658262,0.439757779479073,0.229694079747347,279.059599774974,0.439757779479073,0.439757779479073,0.443788702465436,"2018-08-16",228,2018
16,0.402375455348729,0.351319670963876,0.246304873687394,349.950725191882,0.351319670963876,0.351319670963876,0.352953840990006,"2018-09-16",259,2018
15,0.298706955036317,0.348327457242793,0.35296558772089,385.697619104942,0.348327457242793,0.349483668182398,0.361389106664067,"2018-10-26",299,2018
15,0.400439691348041,0.376980478425538,0.222628415394006,332.241817463329,0.376980478425538,0.376980478425538,0.378538774618486,"2018-09-19",262,2018
14,0.35336864657348,0.394130661528756,0.252361180656588,334.209199289816,0.394130661528756,0.394130661528756,0.400158269572623,"2018-06-11",162,2018
20,0.346187340511263,0.409972455825373,0.24236415075899,340.962027354473,0.409972455825373,0.409972455825373,0.412899826681236,"2018-07-06",187,2018
9,0.45473594793392,0.338496474620469,0.206567834848834,359.447076103463,0.338496474620469,0.338496474620469,0.339934402633297,"2018-09-14",257,2018
11,0.305702354875905,0.330621234198909,0.363676410925186,699.267322722176,0.330621234198909,0.330621234198909,0.332397829580934,"2018-11-12",316,2018
17,0.321934602155899,0.427227036774197,0.251254651127327,315.724096546921,0.427227036774197,0.427227036774197,0.440172589964675,"2018-08-18",230,2018
13,0.421320408803601,0.408335990779879,0.170216079675581,322.886876145898,0.408335990779879,0.408335990779879,0.411779181490504,"2018-08-28",240,2018
