"species","sensor_node","soil_sensor","plot_name","year","date_YYYY.MM.DD","surveyed_by","multi.hit_or_top.hit","abundance","Note","USDA_code","corrected_NWT_name","category","group","growth_habit"
"FESBRA",10,2,10.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",5,"","FEBR","Festuca brachyphylla","vascular","monocot","graminoid"
"Soil",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",3,"","2BARE","Soil","nonveg","nonveg","nonveg"
"SOLMUL",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",0.5,"","SOMU","Solidago multiradiata","vascular","dicot","forb"
"AREFEN",14,2,14.2,2018,"7/25/18","Nancy Emery & William Bowman","multi-hit",8,"","ARFET3","Arenaria fendleri var. tweedyi","vascular","dicot","forb"
"Rock",21,3,21.3,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",1,"","2RF","Rock","nonveg","nonveg","nonveg"
"CERARV",15,1,15.1,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","CEARS2","Cerastium arvense var. latifolium","vascular","dicot","forb"
"TRISPI",16,2,16.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","TRSP2","Trisetum spicatum","vascular","monocot","graminoid"
"CARRUP",10,2,10.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",15,"","CARUD","Carex rupestris ssp. drummondiana","vascular","monocot","graminoid"
"FESBRA",8,2,8.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","FEBR","Festuca brachyphylla","vascular","monocot","graminoid"
"Brassicaceae_sp",15,1,15.1,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","2UNKMU","Unknown mustard","vascular","dicot","forb "
"KOBMYO",15,1,15.1,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",1,"","KOMY","Kobresia myosuroides","vascular","monocot","graminoid"
"Carex_sp",8,2,8.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",6,"Maybe Carex rupestris (CARRUP)?","CAREX","Carex spp.","vascular","monocot","graminoid"
"Soil",19,2,19.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",1,"","2BARE","Soil","nonveg","nonveg","nonveg"
"FESBRA",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",4,"","FEBR","Festuca brachyphylla","vascular","monocot","graminoid"
"PACCRO",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",0.5,"Located on edge closest to camera, about 1/5 of the way from the sensor tubing edge","PACR5","Senecio crocatus","vascular","dicot","forb"
"Soil",8,2,8.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",4,"","2BARE","Soil","nonveg","nonveg","nonveg"
"SELDEN",10,2,10.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",3,"","SEDES","Selaginella densa var. scopulorum","vascular","lycopod","lycopod"
"SEDLAN",10,2,10.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","SELA","Sedum lanceolatum","vascular","dicot","forb"
"POTDIV",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",7,"","PODI2","Potentilla diversifolia","vascular","dicot","forb"
"Lichen",21,3,21.3,2018,"7/25/18","Nancy Emery & William Bowman","multi-hit",1,"","2LICHN","Unknown lichen","lichen","lichen","lichenous"
"NOCFEN",14,2,14.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","NOFEG","Noccaea montana var. montana","vascular","dicot","forb"
"Lichen",20,2,20.2,2018,"7/25/18","Nancy Emery & William Bowman","multi-hit",1,"","2LICHN","Unknown lichen","lichen","lichen","lichenous"
"TRISPI",18,2,18.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"Unconfirmed","TRSP2","Trisetum spicatum","vascular","monocot","graminoid"
"DESCAE",13,2,13.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",70,"","DECE","Deschampsia caespitosa","vascular","monocot","graminoid"
"SAXRHO",21,3,21.3,2018,"7/25/18","Nancy Emery & William Bowman","multi-hit",1,"","SARH2","Saxifraga rhomboidea","vascular","dicot","forb"
"Litter",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",5,"","2LTR","Litter","nonveg","nonveg","nonveg"
"AGOGLA",17,2,17.2,2018,"7/20/18","Jane G. Smith and LH","multi-hit",1,"","AGGLG","Agoseris glauca var. glauca","vascular","dicot","forb"
"ELYTRA",20,2,20.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","ELTRT","Agropyron trachycaulum","vascular","monocot","graminoid"
"TRIDAS",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",8,"","TRDA2","Trifolium dasyphyllum","vascular","dicot","forb"
"PHLPUL",18,2,18.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","PHPU5","Phlox pulvinata","vascular","dicot","forb"
"ELYSCR",11,2,11.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",11,"","ELSC4","Elymus scribneri","vascular","monocot","graminoid"
"LLOSER",8,2,8.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",6,"","LLSE","Lloydia serotina","vascular","monocot","forb"
"SILACA",10,2,10.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",3,"","SIACS2","Silene acaulis ssp. subacaulescens","vascular","dicot","forb"
"MINOBT",6,2,6.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",1,"","MIOB2","Minuartia obtusiloba","vascular","dicot","forb"
"ANTROS",20,2,20.2,2018,"7/25/18","Nancy Emery & William Bowman","multi-hit",0.5,"Confirmed","ANRO2","Antennaria rosea","vascular","dicot","forb"
